model,Dec-24,Dec-25,mean_mae,folds,vs_naive_%
ridge_a0.1,0.030922596859080977,0.0373569613406432,0.034139779099862086,2,-1.257160764446541
ridge_a1,0.030906205626343723,0.037390319544198865,0.034148262585271295,2,-1.2326238910980503
ridge_a10,0.030718561097399715,0.03760586523173368,0.0341622131645667,2,-1.1922744850699885
ridge_a100,0.030373793860228763,0.038076933057955245,0.034225363459092,2,-1.009624229432704
naive,0.030456157930968033,0.03869271273988802,0.034574435335428026,2,0.0
xgb_d2_n100,0.03188748290179939,0.03922157598897331,0.03555452944538635,2,2.834736418541106
xgb_d3_n200,0.03282214491946621,0.039000791868605174,0.035911468394035695,2,3.8671146632946574
xgb_d2_n300,0.032262341132381425,0.03982265505121445,0.036042498091797937,2,4.246093225029779
