stock,name,ticker,country,base_quarter,forecast_quarter,current_weight,predicted_change_%,predicted_weight,actual_weight,model,error,naive_error,low,high
CNE1000015S0,Shijiazhuang Yiling Pharmaceutical Co Ltd Class A,002603,CHN,Dec-23,Dec-24,0.005264370151201736,-15.800021427939184,0.00442620566456631,0.003624729555480716,ridge_a0.1,0.000801476109085594,0.0016396405957210202,,
CNE1000015R2,Zhejiang Century Huatong Group Co Ltd Class A,002602,CHN,Dec-23,Dec-24,0.005264370151201736,-12.953563347560534,0.004575837637079698,0.0,ridge_a0.1,0.004575837637079698,0.005264370151201736,,
CNE000000SH3,Changjiang Securities Company Ltd Class A,000783,CHN,Dec-23,Dec-24,0.0052342880360520105,-10.130233547506645,0.004697258071277659,0.005881045359468712,ridge_a0.1,-0.001183787288191053,-0.0006467573234167018,,
CNE000000HK0,Jonjee Hi-Tech Industrial and Commercial Holding Co Ltd Class A,600872,CHN,Dec-23,Dec-24,0.005224260664335436,-14.761086353908984,0.004446680589196739,0.0,ridge_a0.1,0.004446680589196739,0.005224260664335436,,
CNE000001NL4,DHC Software Co Ltd Class A,002065,CHN,Dec-23,Dec-24,0.005224260664335436,-11.180100864652417,0.004633490791065174,0.0,ridge_a0.1,0.004633490791065174,0.005224260664335436,,
CNE000001P78,Sinoma Science & Technology Co Ltd Class A,002080,CHN,Dec-23,Dec-24,0.005164096434035988,-14.167245015322813,0.0044260935266625,0.0,ridge_a0.1,0.0044260935266625,0.005164096434035988,,
CNE100001260,Sunwoda Electronic Co Ltd Class A,300207,CHN,Dec-23,Dec-24,0.0051540690623194125,-14.839303598367678,0.004382910763653615,0.005463209099470937,ridge_a0.1,-0.0010802983358173222,-0.00030914003715152433,,
CNE1000011K6,Shanghai Bairun Investment Holding Group Co Ltd Class A,002568,CHN,Dec-23,Dec-24,0.005103932203736539,-13.707357496069319,0.004397965882905886,0.0,ridge_a0.1,0.004397965882905886,0.005103932203736539,,
CNE1000019P8,Soochow Securities Co Ltd Class A,601555,CHN,Dec-23,Dec-24,0.005093904832019965,0.0,0.005086558194368506,0.005285628688971881,naive (no feature history),-0.00019907049460337473,-0.0001917238569519161,,
CNE100002WP3,Nanjing King-Friend Biochemical Pharmaceutical Co Ltd Class A,603707,CHN,Dec-23,Dec-24,0.00508387746030339,-15.308640906209279,0.004299395196486191,0.0,ridge_a0.1,0.004299395196486191,0.00508387746030339,,
CNE100003K04,CSPC Innovation Pharmaceutical Co Ltd Class A,300765,CHN,Dec-23,Dec-24,0.005053795345153667,0.0,0.0050465065550427705,0.004418618449476493,naive (no feature history),0.0006278881055662771,0.0006351768956771734,,
CNE100002Q33,Shenzhen Kangtai Biological Products Co Ltd Class A,300601,CHN,Dec-23,Dec-24,0.0050437679734370916,-15.838849751951736,0.004238770983979716,0.0,ridge_a0.1,0.004238770983979716,0.0050437679734370916,,
CNE100001T23,Ningbo Orient Wires & Cables Co Ltd Class A,603606,CHN,Dec-23,Dec-24,0.0050437679734370916,-14.89326095597067,0.004286395503599132,0.004888684241973993,ridge_a0.1,-0.0006022887383748607,0.00015508373146309873,,
CNE1000021D0,Thunder Software Technology Co Ltd Class A,300496,CHN,Dec-23,Dec-24,0.005033740601720516,-8.827101090283742,0.00458278819958428,0.0,ridge_a0.1,0.00458278819958428,0.005033740601720516,,
CNE100003FS0,Suzhou Maxwell Technologies Co Ltd Class A,300751,CHN,Dec-23,Dec-24,0.005033740601720516,-13.900466570809064,0.00432777646107026,0.003332244173482272,ridge_a0.1,0.000995532287587988,0.0017014964282382442,,
CNE100001377,Ingenic Semiconductor Co Ltd Class A,300223,CHN,Dec-23,Dec-24,0.004993631114854217,-14.847164982659153,0.004246085741419684,0.00391721493747916,ridge_a0.1,0.00032887080394052373,0.0010764161773750575,,
CNE100002YQ7,Anjoy Foods Group Co Ltd Class A,603345,CHN,Dec-23,Dec-24,0.004973576371421069,-11.1646010516344,0.00441192416396691,0.003541162303481161,ridge_a0.1,0.0008707618604857489,0.001432414067939908,,
CNE000001303,Huagong Tech Co Ltd Class A,000988,CHN,Dec-23,Dec-24,0.00489335739768847,0.0,0.004886299997739824,0.006215314367466935,naive (no feature history),-0.0013290143697271108,-0.001321956969778465,,
CNE000000DJ1,Ningbo Joyson Electronic Corp Class A,600699,CHN,Dec-23,Dec-24,0.00487330265425532,-19.530085504174753,0.003915886670230949,0.0,ridge_a0.1,0.003915886670230949,0.00487330265425532,,
CNE100002VW1,Guangzhou Kingmed Diagnostics Group Co Ltd Class A,603882,CHN,Dec-23,Dec-24,0.004853247910822171,-13.941962244159981,0.004170586242025773,0.0,ridge_a0.1,0.004170586242025773,0.004853247910822171,,
CNE100003NL9,Bloomage BioTechnology Corp Ltd Class A,688363,CHN,Dec-23,Dec-24,0.004853247910822171,0.0,0.004846248358414088,0.002768165222485273,naive (no feature history),0.002078083135928815,0.0020850826883368977,,
CNE000000K90,Shede Spirits Co Ltd Class A,600702,CHN,Dec-23,Dec-24,0.004843220539105597,0.0,0.004836235448582655,0.0,naive (no feature history),0.004836235448582655,0.004843220539105597,,
CNE100000XG4,Songcheng Performance Development Co Ltd Class A,300144,CHN,Dec-23,Dec-24,0.004803111052239298,-13.035456218787811,0.004170979368628643,0.0,ridge_a0.1,0.004170979368628643,0.004803111052239298,,
CNE000001LV7,Meinian Onehealth Healthcare Holdings Co Ltd Class A,002044,CHN,Dec-23,Dec-24,0.004783056308806148,-15.509990132655673,0.004035376356687968,0.0,ridge_a0.1,0.004035376356687968,0.004783056308806148,,
CNE1000027G0,First Capital Securities Co Ltd Class A,002797,CHN,Dec-23,Dec-24,0.004773028937089574,-10.857044806704533,0.004248682572900246,0.0,ridge_a0.1,0.004248682572900246,0.004773028937089574,,
CNE100001617,Beijing Enlight Media Co Ltd Class A,300251,CHN,Dec-23,Dec-24,0.004773028937089574,-11.730216045212154,0.0042070659648782115,0.0,ridge_a0.1,0.0042070659648782115,0.004773028937089574,,
