stock,name,ticker,country,base_quarter,forecast_quarter,current_weight,predicted_change_%,predicted_weight,actual_weight,model,error,naive_error,low,high
TW0002330008,Taiwan Semiconductor Manufacturing Co Ltd,2330,TWN,Dec-24,Dec-25,10.539254614011671,-3.7158178043838417,10.913842151620527,12.563604945230482,ridge_a0.1,-1.6497627936099555,-2.0243503312188107,,
00700|CHN,Tencent Holdings Ltd,00700,CHN,Dec-24,Dec-25,4.547640422229982,-5.663157713841324,4.614028564800931,5.098161215480709,ridge_a0.1,-0.4841326506797783,-0.550520793250727,,
09988|CHN,Alibaba Group Holding Ltd Ordinary Shares,09988,CHN,Dec-24,Dec-25,2.252656908121749,-6.109795743011056,2.2747211248752475,3.2582315447446195,ridge_a0.1,-0.983510419869372,-1.0055746366228706,,
KR7005930003,Samsung Electronics Co Ltd,005930,KOR,Dec-24,Dec-25,2.2497554875500945,-19.432216217217523,1.9494386080728843,4.077046637458944,ridge_a0.1,-2.1276080293860593,-1.827291149908849,,
INE040A01034,HDFC Bank Ltd,HDFCBANK,IND,Dec-24,Dec-25,1.5253239802510643,0.0,1.6404950476161706,1.2970218534127689,naive (no feature history),0.3434731942034017,0.22830212683829543,,
03690|CHN,Meituan Class B,03690,CHN,Dec-24,Dec-25,1.2612344711252432,-6.458192434564443,1.268862070649991,0.6828389619117329,ridge_a0.1,0.586023108738258,0.5783955092135104,,
INE002A01018,Reliance Industries Ltd,RELIANCE,IND,Dec-24,Dec-25,1.1269860424603322,-19.945431896652956,0.9703255830010163,1.1005223481075896,ridge_a0.1,-0.1301967651065733,0.02646369435274254,,
CNE1000002H1,China Construction Bank Corp Class H,00939,CHN,Dec-24,Dec-25,1.0453748043047042,-0.8386530375493001,1.1148778098844732,0.9837699170199936,ridge_a0.1,0.13110789286447955,0.061604887284710586,,
INE090A01021,ICICI Bank Ltd,ICICIBANK,IND,Dec-24,Dec-25,1.018790161835015,0.44408485615519133,1.1005808056246527,0.8167156483990624,ridge_a0.1,0.28386515722559025,0.20207451343595262,,
INE009A01021,Infosys Ltd,INFY,IND,Dec-24,Dec-25,0.9516057103972658,-2.2094409352031774,1.000844931359735,0.6169821505880512,ridge_a0.1,0.3838627807716838,0.33462355980921465,,
TW0002317005,Hon Hai Precision Industry Co Ltd,2317,TWN,Dec-24,Dec-25,0.9133149904654702,-2.1810015066899973,0.9608522767733514,0.9539959794581038,ridge_a0.1,0.006856297315247617,-0.040680988992633615,,
01810|CHN,Xiaomi Corp Class B,01810,CHN,Dec-24,Dec-25,0.8884571450142049,-4.2256018743481265,0.9151636070607929,0.8982758790707351,ridge_a0.1,0.016887727990057777,-0.00981873405653022,,
PDD|CHN,PDD Holdings Inc ADR,PDD,CHN,Dec-24,Dec-25,0.8780260862808186,-21.896501392446954,0.7375487528673481,0.8319737310741193,ridge_a0.1,-0.0944249782067712,0.04605235520669926,,
TW0002454006,MediaTek Inc,2454,TWN,Dec-24,Dec-25,0.8582080786391394,-6.883382476521415,0.85947374755376,0.7168966141370856,ridge_a0.1,0.14257713341667444,0.14131146450205379,,
KR7000660001,SK Hynix Inc,000660,KOR,Dec-24,Dec-25,0.841492281920094,-11.78562262014734,0.7983665560341515,2.554726840557914,ridge_a0.1,-1.7563602845237625,-1.71323455863782,,
SA0007879113,Al Rajhi Bank,1120,SAU,Dec-24,Dec-25,0.642488965064286,-8.194470607783753,0.634376867143478,0.5272574142459173,ridge_a0.1,0.10711945289756064,0.11523155081836867,,
INE397D01024,Bharti Airtel Ltd,BHARTIARTL,IND,Dec-24,Dec-25,0.6200004457545791,-0.9024666326898745,0.6607964055985202,0.623312293296188,ridge_a0.1,0.03748411230233217,-0.0033118475416088478,,
CNE1000003G1,Industrial And Commercial Bank Of China Ltd Class H,01398,CHN,Dec-24,Dec-25,0.6079630642133567,-2.2800191852262923,0.6389595916803535,0.5453465657703418,ridge_a0.1,0.09361302591001175,0.06261649844301487,,
INE467B01029,Tata Consultancy Services Ltd,TCS,IND,Dec-24,Dec-25,0.5641004120418793,-7.834852977188032,0.5591598282161165,0.3329739890512919,ridge_a0.1,0.22618583916482465,0.23112642299058744,,
09618|CHN,JD.com Inc Ordinary Shares - Class A,09618,CHN,Dec-24,Dec-25,0.5640301354190363,-3.5158850795864143,0.5852897941994186,0.35384119315449675,ridge_a0.1,0.23144860104492188,0.2101889422645396,,
09961|CHN,Trip.com Group Ltd,09961,CHN,Dec-24,Dec-25,0.5609881616016966,0.0,0.6033461171490955,0.4572335240540652,naive (no feature history),0.14611259309503027,0.10375463754763142,,
SA14TG012N13,Saudi Arabian Oil Co,2222,SAU,Dec-24,Dec-25,0.5608576478735599,-13.357075221576565,0.5226351032397886,0.3948863898432702,ridge_a0.1,0.1277487133965184,0.16597125803028967,,
CNE1000003X6,Ping An Insurance (Group) Co. of China Ltd Class H,02318,CHN,Dec-24,Dec-25,0.5178483546937455,-2.9485426500148906,0.5405271185330195,0.5842499051273837,ridge_a0.1,-0.04372278659436424,-0.06640155043363827,,
ZAE000325783,Naspers Ltd Class N,NPN,ZAF,Dec-24,Dec-25,0.48834221261730426,0.0,0.5252149652880616,0.0,naive (no feature history),0.5252149652880616,0.48834221261730426,,
CNE1000001Z5,Bank Of China Ltd Class H,03988,CHN,Dec-24,Dec-25,0.4766662537078448,0.9955036377482934,0.5177609248541287,0.42353638246870695,ridge_a0.1,0.09422454238542177,0.05312987123913787,,
CNE100000296,BYD Co Ltd Class H,01211,CHN,Dec-24,Dec-25,0.4661749578691646,-8.216627802512185,0.4601779190502617,0.46788979444213474,ridge_a0.1,-0.007711875391873069,-0.0017148365729701687,,
09999|CHN,NetEase Inc Ordinary Shares,09999,CHN,Dec-24,Dec-25,0.449499319220315,-8.338539947829767,0.44312743058733073,0.4967942651663911,ridge_a0.1,-0.05366683457906035,-0.047294945946076083,,
ID1000109507,PT Bank Central Asia Tbk,BBCA,IDN,Dec-24,Dec-25,0.43286383864166134,-7.745121902921517,0.4294904103922518,0.2776250025580351,ridge_a0.1,0.15186540783421665,0.1552388360836262,,
INE101A01026,Mahindra & Mahindra Ltd,M&M,IND,Dec-24,Dec-25,0.4276432895161936,-1.9442983387743862,0.45099044314363723,0.3990640719655581,ridge_a0.1,0.051926371178079134,0.028579217550635527,,
NU|BRA,Nu Holdings Ltd Ordinary Shares Class A,NU,BRA,Dec-24,Dec-25,0.3981070288871054,0.0,0.4281664864424322,0.5875051041414509,naive (no feature history),-0.15933861769901864,-0.18939807525434543,,
BRVALEACNOR0,Vale SA,VALE3,BRA,Dec-24,Dec-25,0.3916014215153688,-13.767244724412983,0.3631862081294159,0.4920015943052891,ridge_a0.1,-0.12881538617587324,-0.1004001727899203,,
INE238A01034,Axis Bank Ltd,532215,IND,Dec-24,Dec-25,0.37164286062800395,-11.305403220475004,0.35451595353351445,0.33498860733361346,ridge_a0.1,0.019527346199900986,0.03665425329439048,,
INE018A01030,Larsen & Toubro Ltd,LT,IND,Dec-24,Dec-25,0.37024736768869626,-11.45973668894388,0.35257021003783706,0.31757806407270783,ridge_a0.1,0.03499214596512923,0.05266930361598843,,
SA13L050IE10,Saudi National Bank,1180,SAU,Dec-24,Dec-25,0.34027940780500204,-11.856444835008558,0.3225812030228148,0.30695360344699074,ridge_a0.1,0.015627599575824047,0.0333258043580113,,
BRPETRACNPR6,Petroleo Brasileiro SA Petrobras Participating Preferred,PETR4,BRA,Dec-24,Dec-25,0.33724747350521117,-17.791728756364094,0.2981789945506632,0.2651661789699936,ridge_a0.1,0.0330128155806696,0.07208129453521755,,
TW0002308004,Delta Electronics Inc,2308,TWN,Dec-24,Dec-25,0.3341051045123816,-0.23701044330882992,0.358480380209439,0.6178728239339197,ridge_a0.1,-0.2593924437244807,-0.2837677194215381,,
KR7005931001,Samsung Electronics Co Ltd Participating Preferred,005935,KOR,Dec-24,Dec-25,0.3229110424452731,-17.519279918100068,0.2864495643500841,0.5219027709165888,ridge_a0.1,-0.23545320656650465,-0.1989917284713157,,
KW0EQ0100085,Kuwait Finance House,KFH,KWT,Dec-24,Dec-25,0.31837318051313584,-5.752870369847226,0.32271372322483666,0.30011450454121474,ridge_a0.1,0.022599218683621913,0.0182586759719211,,
09888|CHN,Baidu Inc,09888,CHN,Dec-24,Dec-25,0.31632511893314463,-16.292352820447967,0.2847814131442589,0.38857745364336826,ridge_a0.1,-0.10379604049910934,-0.07225233471022363,,
BRPETRACNOR9,Petroleo Brasileiro SA Petrobras,PETR3,BRA,Dec-24,Dec-25,0.3143372944584473,-15.85338023708476,0.28447585484717924,0.23220066191874156,ridge_a0.1,0.052275192928437686,0.08213663253970577,,
BRITUBACNPR1,Itau Unibanco Holding SA Participating Preferred,ITUB4,BRA,Dec-24,Dec-25,0.3135943701598231,-17.330632373198245,0.27882113998578234,0.407154354857197,ridge_a0.1,-0.12833321487141464,-0.09355998469737387,,
TW0002382009,Quanta Computer Inc,2382,TWN,Dec-24,Dec-25,0.30862480897307987,-10.780439590822406,0.2961445460522288,0.24199806872329505,ridge_a0.1,0.05414647732893374,0.06662674024978482,,
AEE000301011,Emaar Properties PJSC,EMAAR,ARE,Dec-24,Dec-25,0.30222963629438193,-5.406184081351167,0.3074769889089156,0.2634696583111964,ridge_a0.1,0.04400733059771922,0.038759977983185534,,
KW0EQ0100010,National Bank of Kuwait SAK,NBK,KWT,Dec-24,Dec-25,0.2983242639678302,-5.94437443214266,0.3017770297745794,0.28373247692970477,ridge_a0.1,0.018044552844874606,0.014591787038125414,,
INE237A01028,Kotak Mahindra Bank Ltd,KOTAKBANK,IND,Dec-24,Dec-25,0.2974006283533243,-14.566314537912223,0.2732648983240016,0.2765964869086393,ridge_a0.1,-0.0033315885846377236,0.02080414144468501,,
TW0002881000,Fubon Financial Holdings Co Ltd,2881,TWN,Dec-24,Dec-25,0.2943887730886315,-5.455055339988808,0.29934525689932245,0.2672550200311376,ridge_a0.1,0.03209023686818485,0.02713375305749388,,
INE030A01027,Hindustan Unilever Ltd,500696,IND,Dec-24,Dec-25,0.29115604843786114,-10.95657701970926,0.2788306356482656,0.21934951792835322,ridge_a0.1,0.05948111771991238,0.07180653050950792,,
INE296A01024,Bajaj Finance Ltd,500034,IND,Dec-24,Dec-25,0.28966016032306363,-9.531757994938676,0.2818368287298963,0.0,ridge_a0.1,0.2818368287298963,0.28966016032306363,,
QA0006929895,Qatar National Bank SAQ,QNBK,QAT,Dec-24,Dec-25,0.2869394510672911,-2.791144865532416,0.2999914775759676,0.2460803215585257,ridge_a0.1,0.053911156017441925,0.040859129508765385,,
INE758T01015,Zomato Ltd,543320,IND,Dec-24,Dec-25,0.28081534536241554,-8.346611289611552,0.27681026358947924,0.0776264233940868,ridge_a0.1,0.19918384019539243,0.20318892196832872,,
INE860A01027,HCL Technologies Ltd,HCLTECH,IND,Dec-24,Dec-25,0.27755250215899824,-1.8614301642907312,0.29295282966705927,0.17732882186077145,ridge_a0.1,0.11562400780628782,0.10022368029822679,,
INE044A01036,Sun Pharmaceuticals Industries Ltd,SUNPHARMA,IND,Dec-24,Dec-25,0.27603653500910286,-0.2195933950110418,0.296227014915384,0.19059349276174162,ridge_a0.1,0.10563352215364238,0.08544304224736124,,
KR7105560007,KB Financial Group Inc,105560,KOR,Dec-24,Dec-25,0.2747414372452849,-2.241706921535121,0.28886212471330047,0.32493672243024047,ridge_a0.1,-0.03607459771693999,-0.050195285184955585,,
SA0007879543,Saudi Telecom Co,7010,SAU,Dec-24,Dec-25,0.2737676040430342,-17.200075541503047,0.2437950151002989,0.23660101237749664,ridge_a0.1,0.007194002722802267,0.03716659166553754,,
ZAE000066304,Firstrand Ltd,FSR,ZAF,Dec-24,Dec-25,0.26530429074924716,-6.702716814667436,0.2662110612626907,0.2868074206237746,ridge_a0.1,-0.02059635936108395,-0.02150312987452746,,
KR7068270008,Celltrion Inc,068270,KOR,Dec-24,Dec-25,0.26502318425787585,-16.625039577889787,0.23764699884205087,0.19781430881574696,ridge_a0.1,0.03983269002630391,0.06720887544212889,,
CNE1000002M1,China Merchants Bank Co Ltd Class H,03968,CHN,Dec-24,Dec-25,0.2611981280717159,-1.0851799866452516,0.27787165700391214,0.27526047688983657,ridge_a0.1,0.002611180114075573,-0.014062348818120685,,
TW0002882008,Cathay Financial Holding Co Ltd,2882,TWN,Dec-24,Dec-25,0.25870832771956975,-7.14519257533701,0.258361399255343,0.2375128922316001,ridge_a0.1,0.020848507023742913,0.02119543548796965,,
TW0002891009,CTBC Financial Holding Co Ltd,2891,TWN,Dec-24,Dec-25,0.25643939675350114,-4.375248598252249,0.2637350746512841,0.2773175081886281,ridge_a0.1,-0.013582433537344007,-0.020878111435126967,,
KR7005380001,Hyundai Motor Co,005380,KOR,Dec-24,Dec-25,0.2549736271913505,-11.972466330948741,0.24139408373250335,0.2828099938214838,ridge_a0.1,-0.04141591008898046,-0.02783636663013328,,
KR7035420009,NAVER Corp,035420,KOR,Dec-24,Dec-25,0.2545218489016467,-16.046018248698598,0.22981543495781157,0.24547593607382923,ridge_a0.1,-0.01566050111601766,0.00904591282781747,,
YUMC|CHN,Yum China Holdings Inc,YUMC,CHN,Dec-24,Dec-25,0.23894051766563548,-1.6447453667288614,0.25275525455883074,0.18245019359951534,ridge_a0.1,0.07030506095931541,0.056490324066120146,,
INE155A01022,Tata Motors Ltd,TATAMOTORS,IND,Dec-24,Dec-25,0.22785689029156567,-17.43275208914182,0.2023404915822392,0.08537740215396626,ridge_a0.1,0.11696308942827295,0.14247948813759942,,
SA123GA0ITH7,Saudi Arabian Mining Co,1211,SAU,Dec-24,Dec-25,0.2264814763873559,-9.045319798905563,0.22154939289023354,0.22686722509764806,ridge_a0.1,-0.0053178322074145246,-0.00038574871029214974,,
ID1000118201,PT Bank Rakyat Indonesia (Persero) Tbk Registered Shs Series -B-,BBRI,IDN,Dec-24,Dec-25,0.22437317770207088,-16.063858104013754,0.2025502424820876,0.15487112963994423,ridge_a0.1,0.04767911284214338,0.06950204806212665,,
INE733E01010,NTPC Ltd,532555,IND,Dec-24,Dec-25,0.22213436528864922,-15.014152740471168,0.20303699882728835,0.16638626361152986,ridge_a0.1,0.036650735215758484,0.055748101677119355,,
INE154A01025,ITC Ltd,ITC,IND,Dec-24,Dec-25,0.22074891186689044,-11.476446596617308,0.21016976355293812,0.1394539981531252,ridge_a0.1,0.07071576539981292,0.08129491371376524,,
INE752E01010,Power Grid Corp Of India Ltd,532898,IND,Dec-24,Dec-25,0.21938353748022968,-6.0900176951863045,0.22157901088834409,0.1423062735107279,ridge_a0.1,0.0792727373776162,0.07707726396950179,,
MXP370711014,Grupo Financiero Banorte SAB de CV Class O,GFNORTEO,MEX,Dec-24,Dec-25,0.21762662190915882,-18.077659206734367,0.1917463914219551,0.24243280214211185,ridge_a0.1,-0.050686410720156755,-0.02480618023295303,,
INE062A01020,State Bank of India,SBIN,IND,Dec-24,Dec-25,0.2161708918645573,-1.3270114327067568,0.22940787501976734,0.20464280446740546,ridge_a0.1,0.02476507055236188,0.011528087397151832,,
CNE1000003W8,PetroChina Co Ltd Class H,00857,CHN,Dec-24,Dec-25,0.21587974585563696,-8.235777024611721,0.21305813212875718,0.2360284366551526,ridge_a0.1,-0.022970304526395424,-0.020148690799515645,,
AEN000101016,First Abu Dhabi Bank PJSC,FAB,ARE,Dec-24,Dec-25,0.21558859984671663,-3.496790650776946,0.22375892878995937,0.21857548037777697,ridge_a0.1,0.0051834484121824065,-0.002986880531060332,,
TW0003711008,ASE Technology Holding Co Ltd,3711,TWN,Dec-24,Dec-25,0.21528741432024734,-6.9076508022672485,0.21554872450984636,0.27452885235573027,ridge_a0.1,-0.05898012784588391,-0.05924143803548293,,
KR7000270009,Kia Corp,000270,KOR,Dec-24,Dec-25,0.2137011705475091,-15.280606638855335,0.19471641453455776,0.2063393251262026,ridge_a0.1,-0.01162291059164483,0.0073618454213064954,,
